NLA,SUP6,Draw ,Draw#
6 9 12 20 23 BB: 29 Letter: K,03 12 16 17 18 23 Letter: C,3463.0,2548.0
2 3 9 10 22 BB: 1 Letter: K,01 04 06 26 27 28 Letter: G,3462.0,2547.0
1 7 9 18 35 BB: 20 Letter: K,04 11 13 14 19 25 Letter: J,3461.0,2546.0
2 8 10 15 31 BB: 7 Letter: K,03 06 08 12 18 26 Letter: A,3460.0,2545.0
2 6 8 11 20 BB: 30 Letter: K,03 09 10 26 27 28 Letter: N,3459.0,2544.0
2 8 15 18 35 BB: 13 Letter: K,08 15 16 20 23 28 Letter: K,,2543.0
5 9 19 23 33 BB: 11 Letter: K,00 00 00 00 00 00 Letter: A,3458.0,0.0
11 21 25 30 35 BB: 27 Letter: K,04 07 10 19 25 27 Letter: O,3457.0,2542.0
5 6 8 22 25 BB: 4 Letter: K,02 06 11 14 24 25 Letter: L,,2541.0
3 4 10 21 32 BB: 14 Letter: K,01 04 05 13 14 25 Letter: O,3455.0,2539.0
11 24 32 35 36 BB: 20 Letter: K,02 06 09 10 16 17 Letter: A,3454.0,2538.0
2 23 25 32 34 BB: 31 Letter: K,02 06 09 14 15 20 Letter: A,3453.0,2537.0
8 14 16 25 35 BB: 21 Letter: K,01 03 04 12 22 25 Letter: A,3452.0,2536.0
7 10 18 19 20 BB: 32 Letter: K,02 07 11 13 14 16 Letter: A,3451.0,2535.0
7 9 12 27 31 BB: 4 Letter: K,03 11 16 20 21 28 Letter: A,3450.0,2534.0
1 17 19 27 36 BB: 12 Letter: K,06 09 10 20 26 27 Letter: A,,2533.0
1 12 22 25 28 BB: 16 Letter: K,01 03 08 14 17 22 Letter: A,3449.0,2532.0
14 15 26 29 31 BB: 7 Letter: K,01 05 07 08 23 27 Letter: A,3448.0,2531.0
4 13 16 29 34 BB: 9 Letter: K,06 07 14 19 24 25 Letter: A,3447.0,2530.0
3 11 13 16 17 BB: 12 Letter: K,01 08 22 26 27 28 Letter: A,3446.0,2529.0
4 16 25 29 32 BB: 20 Letter: K,04 08 17 19 23 28 Letter: A,3445.0,2528.0
14 21 23 30 34 BB: 10 Letter: K,02 03 05 15 22 23 Letter: A,3444.0,2527.0
9 10 24 34 36 BB: 6 Letter: K,03 05 16 18 20 25 Letter: A,,2526.0
4 14 17 26 33 BB: 18 Letter: K,00 00 00 00 00 00 Letter: A,3443.0,0.0
17 27 28 32 33 BB: 16 Letter: K,05 07 12 14 16 18 Letter: A,3442.0,2525.0
14 20 25 28 31 BB: 26 Letter: K,01 12 13 16 26 27 Letter: A,3441.0,2524.0
7 17 23 27 34 BB: 20 Letter: K,08 11 21 25 27 28 Letter: A,3440.0,2523.0
2 3 8 11 24 BB: 6 Letter: K,04 08 10 11 16 28 Letter: A,3439.0,2522.0
9 10 26 32 36 BB: 29 Letter: K,05 06 10 14 19 27 Letter: A,3438.0,2521.0
10 18 27 28 29 BB: 20 Letter: K,03 04 07 18 21 27 Letter: A,3437.0,2520.0
7 8 9 31 33 BB: 17 Letter: K,10 15 19 24 25 27 Letter: A,3436.0,2519.0
2 8 9 25 29 BB: 15 Letter: K,03 08 18 21 24 26 Letter: A,3435.0,2518.0
6 9 13 27 36 BB: 14 Letter: K,05 09 10 15 17 19 Letter: A,3434.0,2517.0
19 21 27 29 36 BB: 8 Letter: K,01 07 18 23 25 26 Letter: A,3433.0,2516.0
9 13 18 19 28 BB: 16 Letter: K,02 06 09 10 13 25 Letter: A,3432.0,2515.0
2 9 24 31 35 BB: 16 Letter: K,02 07 11 17 19 26 Letter: A,3431.0,2514.0
3 19 22 24 30 BB: 1 Letter: K,04 08 12 15 17 18 Letter: A,3430.0,2513.0
2 4 6 18 28 BB: 36 Letter: K,07 15 19 22 24 25 Letter: A,3429.0,2512.0
34 31 35 3 21 BB: 20 Letter: K,01 02 13 17 20 23 Letter: A,3428.0,2511.0
1 4 20 22 30 BB: 32 Letter: K,06 07 09 12 25 26 Letter: A,3427.0,2510.0
4 7 8 22 27 BB: 34 Letter: K,11 14 22 23 25 27 Letter: A,3426.0,2509.0
4 10 12 15 16 BB: 18 Letter: K,01 07 08 15 19 25 Letter: A,3425.0,2508.0
1 5 8 33 34 BB: 14 Letter: K,10 05 11 04 07 22 Letter: A,3424.0,2507.0
1 13 14 26 29 BB: 7 Letter: K,06 08 09 12 22 26 Letter: A,3423.0,2506.0
15 17 18 19 28 BB: 20 Letter: K,01 09 13 15 16 19 Letter: A,3422.0,2505.0
3 6 20 32 33 BB: 22 Letter: K,02 10 17 19 20 26 Letter: A,3421.0,2504.0
5 10 14 34 36 BB: 17 Letter: K,04 06 17 18 23 28 Letter: A,3420.0,2503.0
1 15 20 27 29 BB: 24 Letter: K,03 08 11 13 18 24 Letter: A,,2502.0
2 19 23 25 30 BB: 26 Letter: K,00 00 00 00 00 00 Letter: A,3419.0,0.0
28 30 31 34 35 BB: 32 Letter: K,05 06 10 16 18 26 Letter: A,3418.0,2501.0
3 6 18 25 31 BB: 9 Letter: K,04 06 09 14 22 28 Letter: A,3417.0,2500.0
4 6 7 16 26 BB: 19 Letter: K,02 05 12 14 15 17 Letter: A,,2499.0
20 22 29 32 34 BB: 19 Letter: K,04 08 19 22 23 24 Letter: A,3416.0,2498.0
14 16 19 25 29 BB: 22 Letter: K,05 07 14 15 20 25 Letter: A,3415.0,2497.0
4 5 9 21 34 BB: 18 Letter: K,03 04 11 12 17 25 Letter: A,3414.0,2496.0
6 12 16 26 36 BB: 8 Letter: K,01 03 05 09 15 26 Letter: A,3413.0,2495.0
4 11 23 34 35 BB: 33 Letter: K,02 07 08 09 13 17 Letter: A,3412.0,2494.0
1 13 15 19 27 BB: 29 Letter: K,12 14 19 22 25 26 Letter: A,,2492.0
4 9 22 24 30 BB: 7 Letter: K,01 10 11 12 17 26 Letter: A,3411.0,2493.0
13 15 23 34 36 BB: 1 Letter: K,01 03 05 23 25 27 Letter: A,3410.0,2491.0
1 6 8 15 35 BB: 18 Letter: K,04 07 19 23 25 26 Letter: A,3409.0,2490.0
1 2 10 23 30 BB: 34 Letter: K,01 04 15 19 22 24 Letter: A,3408.0,2489.0
4 6 16 17 18 BB: 22 Letter: K,01 03 11 24 25 28 Letter: A,3407.0,2488.0
3 13 31 34 35 BB: 29 Letter: K,02 05 09 14 23 25 Letter: A,3406.0,2487.0
3 10 12 26 31 BB: 35 Letter: K,13 16 20 21 22 28 Letter: A,3405.0,2486.0
3 20 23 25 28 BB: 30 Letter: K,06 07 09 11 21 23 Letter: A,3404.0,2485.0
1 3 15 27 35 BB: 30 Letter: K,08 09 14 15 22 26 Letter: A,3403.0,2484.0
2 6 17 23 36 BB: 25 Letter: K,02 08 12 14 17 26 Letter: A,3402.0,2483.0
1 18 19 30 35 BB: 6 Letter: K,05 06 20 24 26 27 Letter: A,3401.0,2482.0
3 6 11 14 24 BB: 23 Letter: K,07 08 10 11 14 28 Letter: A,3400.0,2481.0
1 9 12 23 27 BB: 24 Letter: K,09 10 13 17 20 22 Letter: A,3399.0,2480.0
2 6 14 19 29 BB: 22 Letter: K,06 12 13 24 25 27 Letter: A,3398.0,2479.0
4 15 18 27 34 BB: 26 Letter: K,05 08 13 20 24 26 Letter: A,3396.0,2478.0
3 13 30 31 34 BB: 16 Letter: K,01 04 14 15 24 28 Letter: A,3396.0,2477.0
2 3 10 19 21 BB: 17 Letter: K,02 08 16 24 26 27 Letter: A,3395.0,2476.0
1 5 11 15 30 BB: 29 Letter: K,01 06 11 13 14 17 Letter: A,3394.0,2475.0
8 10 25 30 32 BB: 21 Letter: K,06 11 13 16 22 28 Letter: A,3393.0,2474.0
7 17 23 25 31 BB: 3 Letter: K,02 10 12 15 20 28 Letter: A,3392.0,2473.0
3 9 17 28 32 BB: 26 Letter: K,05 06 07 13 27 28 Letter: A,3391.0,2472.0
6 13 22 26 33 BB: 9 Letter: K,01 02 16 17 21 26 Letter: A,3390.0,2471.0
2 6 26 28 29 BB: 3 Letter: K,02 04 06 15 18 21 Letter: A,3389.0,2470.0
12 13 18 24 35 BB: 5 Letter: K,03 12 14 16 24 28 Letter: A,,2469.0
4 14 20 24 28 BB: 3 Letter: K,03 13 16 18 25 27 Letter: A,3388.0,2468.0
4 23 28 30 36 BB: 7 Letter: K,05 09 10 19 24 28 Letter: A,3387.0,2467.0
1 2 18 24 35 BB: 15 Letter: K,13 14 16 19 23 27 Letter: A,3386.0,2466.0
8 11 22 27 35 BB: 28 Letter: K,01 08 20 21 26 27 Letter: A,3385.0,2465.0
11 24 27 29 35 BB: 23 Letter: K,06 07 10 11 22 28 Letter: A,3384.0,2464.0
13 18 19 24 28 BB: 21 Letter: K,02 03 10 16 22 24 Letter: A,3383.0,2463.0
4 10 16 22 32 BB: 36 Letter: K,09 17 18 19 21 24 Letter: A,3382.0,2462.0
3 6 24 29 30 BB: 23 Letter: K,02 05 06 12 14 21 Letter: A,3381.0,2461.0
3 4 5 6 7 BB: 36 Letter: K,04 10 14 18 20 25 Letter: A,3380.0,2460.0
3 19 23 26 29 BB: 33 Letter: K,01 05 08 09 17 19 Letter: A,,2459.0
7 12 16 21 32 BB: 36 Letter: K,04 05 15 16 17 22 Letter: A,3379.0,2458.0
6 16 17 20 31 BB: 33 Letter: K,02 08 09 14 15 21 Letter: A,3378.0,2457.0
10 31 33 34 36 BB: 14 Letter: K,00 00 00 00 00 00 Letter: A,3377.0,0.0
17 25 26 28 33 BB: 23 Letter: K,07 13 16 18 20 28 Letter: A,3376.0,2455.0
10 20 28 32 35 BB: 17 Letter: K,01 05 11 19 22 26 Letter: A,3375.0,2454.0
8 11 17 22 30 BB: 9 Letter: K,03 08 18 21 24 26 Letter: A,3374.0,2453.0
6 19 21 24 27 BB: 28 Letter: K,07 09 16 17 18 23 Letter: A,3373.0,2452.0
19 24 27 32 34 BB: 13 Letter: K,02 11 12 13 17 20 Letter: A,3372.0,2451.0
6 9 12 22 33 BB: 31 Letter: K,01 06 08 09 14 27 Letter: A,3371.0,2450.0
2 16 27 30 34 BB: 14 Letter: K,05 09 10 14 23 27 Letter: A,3370.0,2449.0
5 17 25 30 33 BB: 24 Letter: K,01 08 10 12 25 26 Letter: A,3369.0,2448.0
4 12 16 25 27 BB: 21 Letter: K,01 04 17 20 21 28 Letter: A,3368.0,2447.0
2 3 17 30 32 BB: 33 Letter: A,05 06 07 11 21 24 Letter: A,3367.0,2446.0
6 10 16 19 35 BB: 22 Letter: A,00 00 00 00 00 00 Letter: A,3466.0,0.0
0 0 0 0 0 BB: 0 Letter: A,02 12 14 15 16 18 Letter: J,,2551.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2548.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2547.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2546.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2545.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2544.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2543.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2542.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2541.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2539.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2538.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2537.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2536.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2535.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2534.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2533.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2532.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2531.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2530.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2529.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2528.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2527.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2526.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2525.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2524.0
0 0 0 0 0 BB: 1 Letter: A,00 00 00 00 00 00 Letter: A,,2523.0
