NLA,SUP6,Draw ,Draw#
06 09 12 20 23 BB: 29 Letter: K,03 12 16 17 18 23   Letter: C,3463,2548
02 03 09 10 22 BB: 01 Letter: H,01 04 06 26 27 28 Letter: G,3462,2547
01 07 09 18 35 BB: 20 Letter: L,04 11 13 14 19 25 Letter: J,3461,2546
02 08 10 15 31 BB: 07 Letter: E,03 06 08 12 18 26 Letter: A,3460,2545
02 06 08 11 20 BB: 30 Letter: I,03 09 10 26 27 28 Letter: N,3459,2544
,08 15 16 20 23 28 Letter: K,,2543
02 08 15 18 35 BB: 13 Letter: F,,3458,
05 09 19 23 33 BB: 11 Letter: N,04 07 10 19 25 27 Letter: O,3457,2542
,02  06  11  14  24  25 Letter: L,,2541
11 21 25 30 35 F BB: 27 Letter:,01 04 05 13 14 25 Letter: O,3455,2539
05 06 08 22 25 J BB: 04 Letter:,02 06 09 10 16 17 A Letter:,3454,2538
03 04 10 21 32 F BB: 14 Letter:,02 06 09 14 15 20 D Letter:,3453,2537
11 24 32 35 36 L BB: 20 Letter:,01 03 04 12 22 25 N Letter:,3452,2536
02 23 25 32 34 H BB: 31 Letter:,02 07 11 13 14 16 L Letter:,3451,2535
08 14 16 25 35 C BB: 21 Letter:,03 11 16 20 21 28 K Letter:,3450,2534
,06 09 10 20 26 27 N Letter:,,2533
07 10 18 19 20 N BB: 32 Letter:,01 03 08 14 17 22 D Letter:,3449,2532
07 09 12 27 31 O BB: 04 Letter:,01 05 07 08 23 27 J Letter:,3448,2531
01 17 19 27 36 G BB: 12 Letter:,06 07 14 19 24 25 D Letter:,3447,2530
01 12 22 25 28 O BB: 16 Letter:,01 08 22 26 27 28 N Letter:,3446,2529
14 15 26 29 31 N BB: 07 Letter:,04 08 17 19 23 28 I Letter:,3445,2528
04 13 16 29 34 C BB: 09 Letter:,02 03 05 15 22 23 B Letter:,3444,2527
,03 05 16 18 20 25 N Letter:,,2526
03 11 13 16 17 L BB: 12 Letter:,,3443,
04 16 25 29 32 E BB: 20 Letter:,05 07 12 14 16 18 F Letter:,3442,2525
14 21 23 30 34 H BB: 10 Letter:,01 12 13 16 26 27 J Letter:,3441,2524
09 10 24 34 36 O BB: 06 Letter:,08 11 21 25 27 28 J Letter:,3440,2523
04 14 17 26 33 D BB: 18 Letter:,04 08 10 11 16 28 M Letter:,3439,2522
17 27 28 32 33 C BB: 16 Letter:,05 06 10 14 19 27 L Letter:,3438,2521
14 20 25 28 31 O BB: 26 Letter:,03 04 07 18 21 27 O Letter:,3437,2520
07 17 23 27 34 C BB: 20 Letter:,10 15 19 24 25 27 K Letter:,3436,2519
02 03 08 11 24 D BB: 06 Letter:,03 08 18 21 24 26 J Letter:,3435,2518
09 10 26 32 36   K BB: 29 Letter:,05 09 10 15 17 19 H Letter:,3434,2517
10 18 27 28 29 B BB: 20 Letter:,01 07 18 23 25 26 D Letter:,3433,2516
07 08 09 31 33      A BB: 17 Letter:,02 06 09 10 13 25 G Letter:,3432,2515
02 08 09 25 29 F BB: 15 Letter:,02 07 11 17 19 26 A Letter:,3431,2514
06 09 13 27 36     D BB: 14 Letter:,04 08 12 15 17 18 M Letter:,3430,2513
19 21 27 29 36 O BB: 08 Letter:,07 15 19 22 24 25 A Letter:,3429,2512
09 13 18 19 28 L BB: 16 Letter:,01 02 13 17 20 23 I Letter:,3428,2511
02 09 24 31 35 C BB: 16 Letter:,06 07 09 12 25 26 D Letter:,3427,2510
03 19 22 24 30 H BB: 01 Letter:,11 14 22 23 25 27 G Letter:,3426,2509
02 04 06 18 28 F BB: 36 Letter:,01 07 08 15 19 25 J Letter:,3425,2508
34 31 35 03 21 H BB: 20 Letter:,10 05 11 04 07 22 F Letter:,3424,2507
01 04 20 22 30 F BB: 32 Letter:,06 08 09 12 22 26 I Letter:,3423,2506
04 07 08 22 27 J BB: 34 Letter:,01 09 13 15 16 19    H Letter:,3422,2505
04 10 12 15 16 D BB: 18 Letter:,02 10 17 19 20 26 G Letter:,3421,2504
01 05 08 33 34 N BB: 14 Letter:,04 06 17 18 23 28 M Letter:,3420,2503
,03 08 11 13 18 24 O Letter:,,2502
01 13 14 26 29 J BB: 07 Letter:,,3419,
15 17 18 19 28 L BB: 20 Letter:,05 06 10 16 18 26 D Letter:,3418,2501
03 06 20 32 33 K BB: 22 Letter:,04 06 09 14 22 28 B Letter:,3417,2500
,02 05 12 14 15 17 M Letter:,,2499
05 10 14 34 36 I BB: 17 Letter:,04 08 19 22 23 24 G Letter:,3416,2498
01 15 20 27 29 G BB: 24 Letter:,05 07 14 15 20 25 C Letter:,3415,2497
02 19 23 25 30 N BB: 26 Letter:,03 04 11 12 17 25 A Letter:,3414,2496
28 30 31 34 35 H BB: 32 Letter:,01 03 05 09 15 26 A Letter:,3413,2495
03 06 18 25 31 K BB: 09 Letter:,02 07 08 09 13 17 G Letter:,3412,2494
,12 14 19 22 25 26 C Letter:,,2492
04 06 07 16 26 L BB: 19 Letter:,01 10 11 12 17 26 C Letter:,3411,2493
20 22 29 32 34 O BB: 19 Letter:,01 03 05 23 25 27 N Letter:,3410,2491
14 16 19 25 29 L BB: 22 Letter:,04 07 19 23 25 26 E Letter:,3409,2490
04 05 09 21 34 G BB: 18 Letter:,01 04 15 19 22 24 M Letter:,3408,2489
06 12 16 26 36 J BB: 08 Letter:,01 03 11 24 25 28 C Letter:,3407,2488
04 11 23 34 35 C BB: 33 Letter:,02 05 09 14 23 25 K Letter:,3406,2487
01 13 15 19 27 N BB: 29 Letter:,13 16 20 21 22 28 J Letter:,3405,2486
04 09 22 24 30 I BB: 07 Letter:,06 07 09 11 21 23 J Letter:,3404,2485
13 15 23 34 36 J BB: 01 Letter:,08 09 14 15 22 26 I Letter:,3403,2484
01 06 08 15 35 C BB: 18 Letter:,02 08 12 14 17 26 K Letter:,3402,2483
01 02 10 23 30 C BB: 34 Letter:,05 06 20 24 26 27 K Letter:,3401,2482
04 06 16 17 18 D BB: 22 Letter:,07 08 10 11 14 28 H Letter:,3400,2481
03 13 31 34 35 H BB: 29 Letter:,09 10 13 17 20 22 E Letter:,3399,2480
03 10 12 26 31 G BB: 35 Letter:,06 12 13 24 25 27 B Letter:,3398,2479
03 20 23 25 28 F BB: 30 Letter:,05 08 13 20 24 26 J Letter:,3396,2478
01 03 15 27 35 C BB: 30 Letter:,01 04 14 15 24 28 K Letter:,3396,2477
02 06 17 23 36 L BB: 25 Letter:,02 08 16 24 26 27 E Letter:,3395,2476
01 18 19 30 35 J BB: 06 Letter:,01 06 11 13 14 17 J Letter:,3394,2475
03 06 11 14 24 C BB: 23 Letter:,06 11 13 16 22 28 G Letter:,3393,2474
01 09 12 23 27 E BB: 24 Letter:,02 10 12 15 20 28 C Letter:,3392,2473
02 06 14 19 29 K BB: 22 Letter:,05 06 07 13 27 28   C Letter:,3391,2472
04 15 18 27 34 K BB: 26 Letter:,01 02 16 17 21 26 L Letter:,3390,2471
03 13 30 31 34 K BB: 16 Letter:,02 04 06 15 18 21 C Letter:,3389,2470
,03 12 14 16 24 28 B Letter:,,2469
02 03 10 19 21 I BB: 17 Letter:,03 13 16 18 25 27 I Letter:,3388,2468
01 05 11 15 30 G BB: 29 Letter:,05 09 10 19 24 28 K Letter:,3387,2467
08 10 25 30 32 H BB: 21 Letter:,13 14 16 19 23 27 M Letter:,3386,2466
07 17 23 25 31 C BB: 03 Letter:,01 08 20 21 26 27 F Letter:,3385,2465
03 09 17 28 32 C BB: 26 Letter:,06 07 10 11 22 28 L Letter:,3384,2464
06 13 22 26 33   A BB: 09 Letter:,02 03 10 16 22 24 A Letter:,3383,2463
02 06 26 28 29 A BB: 03 Letter:,09 17 18 19 21 24 A Letter:,3382,2462
12 13 18 24 35 H BB: 05 Letter:,02 05 06 12 14 21 C Letter:,3381,2461
04 14 20 24 28 M BB: 03 Letter:,04 10 14 18 20 25 C Letter:,3380,2460
,01 05 08 09 17 19 F Letter:,,2459
04 23 28 30 36 I BB: 07 Letter:,04 05 15 16 17 22 J Letter:,3379,2458
01 02 18 24 35 M BB: 15 Letter:,02 08 09 14 15 21 M Letter:,3378,2457
08 11 22 27 35 N BB: 28 Letter:,,3377,
