Loc,Mfg,item,description,ext_desc,avail_o/h ,Comm_O/H,RANK,AISLE_ZONEBIN,vendor_id,plu_number,product_description,case_pack_size,size_desc,tax_flag, retail_price ,sub_department_number,sub_category_number,brand_identity,_merge
,,00001C,,,,,,,CTL,5.01E+11,151 ANTISEPTIC DISINFECT 500ML,12,500ML,1,6.5,370,370002,151,right_only
,,00009-550,,,,,,,HAP,535093,B/BIRD APPLE JUICE 340ML,24,340ML,1,4.35,190,190002,BLUE BIRD,right_only
,,00022-550,,,,,,,HAP,535223,B/BIRD UNSW GRAPEFRUIT JC340ML,24,340ML,1,5.55,190,190002,BLUE BIRD,right_only
,,00023-550,,,,,,,HAP,535233,B/BIRD PINEAPPLE JUICE 340ML,24,340ML,1,5.25,190,190002,BLUE BIRD,right_only
,,0006DW,,,,,,,MISC,69004200115,DEE JAYS MAUBY SYRUP 750ML,12,750ML,1,7.95,190,190004, DEE JAYS,right_only
,,0007DW,,,,,,,MISC,1022010000,DEE JAYS GUAVA JELLY 227G,24,227G,1,11.1,380,380001,DEE JAYS,right_only
,,00324-559,,,,,,,HAP,7910000324,9 LIVES M/PATE CHIC&TUNA 156G,24,156G,1,3.9,450,450004,9 LIVES,right_only
,,00808-583,,,,,,,HAP,4150880000,SAN PELLEGRINO SPARK MIN WTR ,24,33.8 OZ,1,15,190,190001,SAN PELLEGRINO,right_only
,,00839-583,,,,,,,HAP,4150880003,SAN PELLEGRINO SPARK MIN WTR ,24,16.9 OZ,1,9.75,190,190001,SAN PELLEGRINO,right_only
,,01019-566,,,,,,,HAP,5070001019,LIFE E/DAY JMB MARSHMALLOW680G,8,680G,1,18.3,530,530004,LIFE EVERY DAY,right_only
,,01021-566,,,,,,,HAP,5070001021,LIFE E/DAY CORN FLAKES 510G,12,510G,1,16,260,260005,LIFE EVERY DAY,right_only
,,01023-566,,,,,,,HAP,5070001023,LIFE E/DAY FROSTED FLAKES 482G,12,510G,1,17.4,260,260005,LIFE EVERY DAY,right_only
,,01024-566,,,,,,,HAP,5070001024,LIFE E/DAY RAISIN BRAN 530G,12,530G,1,19,260,260005,LIFE EVERY DAY,right_only
,,01025-566,,,,,,,HAP,5070001025,LIFE E/DAY TOASTED OATS 340G,12,510G,1,14.9,260,260005,LIFE EVERY DAY,right_only
,,01167-566,,,,,,,HAP,5070001167,LIFE E/DAY FUDGE BROWNIE 519G,12,519G,1,12,170,170004,LIFE EVERY DAY,right_only
,,01168-566,,,,,,,HAP,5070001168,LIFE E/DAY DEVILFD CAKE MX432G,12,432G,1,10.1,170,170004,LIFE EVERY DAY,right_only
,,01169-566,,,,,,,HAP,5070001169,LIFE E/DAY CLASS WHT CAKE432G,12,432G,1,10.1,170,170004,LIFE EVERY DAY,right_only
,,01170-566,,,,,,,HAP,5070001170,LIFE E/DAY CLASS YELW CAKE432G,12,432G,1,10.1,170,170004,LIFE EVERY DAY,right_only
,,01211-566,,,,,,,HAP,5070001211,LIFE E/DAY CRANB C/TAIL 1.89LT,12,1.89LT,1,33.55,190,190002,LIFE EVERY DAY,right_only
,,01212-566,,,,,,,HAP,5070001212,LIFE E/DAY CRANB APPLE 1.89LT,12,1.89LT,1,7,190,190002,LIFE EVERY DAY,right_only
,,01213-566,,,,,,,HAP,5070001213,LIFE E/DAY CRANB GRAPE 1.89LT,12,1.89LT,1,21.5,190,190002,LIFE EVERY DAY,right_only
,,01230a,,,,,,,BLU,9558711230,SUAVITEL BABY POWD FRESH 1.9L,6,1.9L,1,26.2,370,370001,SUAVITEL,right_only
,,01241-566,,,,,,,HAP,5070001241,LIFE E/D H/COCOA MX MARSH284G,12,284G,1,11.55,270,270006,LIFE EVERY DAY,right_only
,,01243-566,,,,,,,HAP,5070001243,LIFE E/D H/COCOA MILK CHOC284G,12,284G,1,11.55,270,270006,LIFE EVERY DAY,right_only
,,020750AG,,,,,,,AGF,4369507109,HOT POCKET 4 CHSE PIZZA 255G,8,255G,1,12.9,340,340005,HOT POCKET,right_only
,,021-19354,,,,,,,FCE,7.45E+11,LOTUS M/PURPOSE BOX 1300ML,12,1300ML,1,15.25,370,370009,LOTUS,right_only
,,021-19354,,,,,,,FCE,7.45E+11,LOTUS HERMETIC FOOD CONT 520ML,1,1300ML,1,20,370,370009,LOTUS,right_only
,,021-19359,,,,,,,FCE,7.45E+11,LOTUS RECT CONTAINER 021-19359,12,1,1,5.1,430,430004,LOTUS,right_only
,,021-19367,,,,,,,FCE,7.45E+11,LOTUS PLASTIC CONTAINER 1775ML,12,1,1,10.2,370,370009,LOTUS,right_only
,,021029S-567,,,,,,,HAP,5070001298,LIFE GD PLASTIC WRAP 100 SQ.FT,12,100 SQFT,1,12.75,430,430007,LIFE GOODS,right_only
,,02110A,,,,,,,BLU,7.51E+11,SUAVITEL VANILLA FAB SOFT850ML,12,850ML,1,7.2,370,370001,SUAVITEL,right_only
,,02400A,,,,,,,BLU,7.51E+11,SUAVITEL FABSOFT MAG&TANG 3L,4,3LT,1,37.1,370,370001,SUAVITEL,right_only
,,02436A,,,,,,,BLU,7.51E+11,SUAVITEL FABSOFT HUG OF LOVE3L,4,3,1,37.1,370,370001,SUAVITEL,right_only
,,024463AG,,,,,,,AG,1312000484,OREIDA ZEST STR SEAS F/FRY907G,12,907G,1,16.4,340,340003,ORE-IDA GOLD,right_only
,,024471AG,,,,,,,AG,1312000483,OREIDA GOLD TWIRL F/FRY 793G,12,,1,16.4,340,340003,ORE-IDA GOLD,right_only
,,02555WH,,,,,,,HAP,5100002555,CAMPBELLS MUSHROOM GRAVY 298G,24,298G,1,7.25,490,490003,CAMPBELLS,right_only
,,026120A,,,,,,,AGF,5200004228,GATORADE ZERO ORANGE 946ML,12,946ML,1,11.2,190,190007,GATORADE,right_only
,,030270AG,,,,,,,AGF,4145811705,EDWARDS KEY LIME PIE 184G,12,184G,1,12.85,340,340008,EDWARDS,right_only
,,033100AG,,,,,,,AG,1312001036,OREIDA GOLD CRISP F/FRY 567G,12,567G,1,16.4,340,340003,ORE-IDA GOLD,right_only
