Draw ,NLA,Draw#,SUP6
3463,06-09-12-20-23-29,2548,03-12-16-17-18-23
3462,02-03-09-10-22-01,2547,01-04-06-26-27-28
3461,01-07-09-18-35-20,2546,04-11-13-14-19-25
3460,02-08-10-15-31-07,2545,03-06-08-12-18-26
3459,02-06-08-11-20-30,2544,03-09-10-26-27-28
,,2543,08-15-16-20-23-28
3458,02-08-15-18-35-13,,
3457,05-09-19-23-33-11,2542,04-07-10-19-25-27
,,2541,02-06-11-14-24-25
3455,11-21-25-30-35-27,2539,01-04-05-13-14-25
3454,05-06-08-22-25-04,2538,02-06-09-10-16-17
3453,03-04-10-21-32-14,2537,02-06-09-14-15-20
3452,11-24-32-35-36-20,2536,01-03-04-12-22-25
3451,02-23-25-32-34-31,2535,02-07-11-13-14-16
3450,08-14-16-25-35-21,2534,03-11-16-20-21-28
,,2533,06-09-10-20-26-27
3449,07-10-18-19-20-32,2532,01-03-08-14-17-22
3448,07-09-12-27-31-04,2531,01-05-07-08-23-27
3447,01-17-19-27-36-12,2530,06-07-14-19-24-25
3446,01-12-22-25-28-16,2529,01-08-22-26-27-28
3445,14-15-26-29-31-07,2528,04-08-17-19-23-28
3444,04-13-16-29-34-09,2527,02-03-05-15-22-23
,,2526,03-05-16-18-20-25
3443,03-11-13-16-17-12,,
3442,04-16-25-29-32-20,2525,05-07-12-14-16-18
3441,14-21-23-30-34-10,2524,01-12-13-16-26-27
3440,09-10-24-34-36-06,2523,08-11-21-25-27-28
3439,04-14-17-26-33-18,2522,04-08-10-11-16-28
3438,17-27-28-32-33-16,2521,05-06-10-14-19-27
3437,14-20-25-28-31-26,2520,03-04-07-18-21-27
3436,07-17-23-27-34-20,2519,10-15-19-24-25-27
3435,02-03-08-11-24-06,2518,03-08-18-21-24-26
3434,09-10-26-32-36-29,2517,05-09-10-15-17-19
3433,10-18-27-28-29-20,2516,01-07-18-23-25-26
3432,07-08-09-31-33-17,2515,02-06-09-10-13-25
3431,02-08-09-25-29-15,2514,02-07-11-17-19-26
3430,06-09-13-27-36-14,2513,04-08-12-15-17-18
3429,19-21-27-29-36-08,2512,07-15-19-22-24-25
3428,09-13-18-19-28-16,2511,01-02-13-17-20-23
3427,02-09-24-31-35-16,2510,06-07-09-12-25-26
3426,03-19-22-24-30-01,2509,11-14-22-23-25-27
3425,02-04-06-18-28-36,2508,01-07-08-15-19-25
3424,34-31-35-03-21-20,2507,10-05-11-04-07-22
3423,01-04-20-22-30-32,2506,06-08-09-12-22-26
3422,04-07-08-22-27-34,2505,01-09-13-15-16-19
3421,04-10-12-15-16-18,2504,02-10-17-19-20-26
3420,01-05-08-33-34-14,2503,04-06-17-18-23-28
,,2502,03-08-11-13-18-24
3419,01-13-14-26-29-07,,
3418,15-17-18-19-28-20,2501,05-06-10-16-18-26
3417,03-06-20-32-33-22,2500,04-06-09-14-22-28
,,2499,02-05-12-14-15-17
3416,05-10-14-34-36-17,2498,04-08-19-22-23-24
3415,01-15-20-27-29-24,2497,05-07-14-15-20-25
3414,02-19-23-25-30-26,2496,03-04-11-12-17-25
3413,28-30-31-34-35-32,2495,01-03-05-09-15-26
3412,03-06-18-25-31-09,2494,02-07-08-09-13-17
,,2492,12-14-19-22-25-26
3411,04-06-07-16-26-19,2493,01-10-11-12-17-26
3410,20-22-29-32-34-19,2491,01-03-05-23-25-27
3409,14-16-19-25-29-22,2490,04-07-19-23-25-26
3408,04-05-09-21-34-18,2489,01-04-15-19-22-24
3407,06-12-16-26-36-08,2488,01-03-11-24-25-28
3406,04-11-23-34-35-33,2487,02-05-09-14-23-25
3405,01-13-15-19-27-29,2486,13-16-20-21-22-28
3404,04-09-22-24-30-07,2485,06-07-09-11-21-23
3403,13-15-23-34-36-01,2484,08-09-14-15-22-26
3402,01-06-08-15-35-18,2483,02-08-12-14-17-26
3401,01-02-10-23-30-34,2482,05-06-20-24-26-27
3400,04-06-16-17-18-22,2481,07-08-10-11-14-28
3399,03-13-31-34-35-29,2480,09-10-13-17-20-22
3398,03-10-12-26-31-35,2479,06-12-13-24-25-27
3396,03-20-23-25-28-30,2478,05-08-13-20-24-26
3396,01-03-15-27-35-30,2477,01-04-14-15-24-28
3395,02-06-17-23-36-25,2476,02-08-16-24-26-27
3394,01-18-19-30-35-06,2475,01-06-11-13-14-17
3393,03-06-11-14-24-23,2474,06-11-13-16-22-28
3392,01-09-12-23-27-24,2473,02-10-12-15-20-28
3391,02-06-14-19-29-22,2472,05-06-07-13-27-28
3390,04-15-18-27-34-26,2471,01-02-16-17-21-26
3389,03-13-30-31-34-16,2470,02-04-06-15-18-21
,,2469,03-12-14-16-24-28
3388,02-03-10-19-21-17,2468,03-13-16-18-25-27
3387,01-05-11-15-30-29,2467,05-09-10-19-24-28
3386,08-10-25-30-32-21,2466,13-14-16-19-23-27
3385,07-17-23-25-31-03,2465,01-08-20-21-26-27
3384,03-09-17-28-32-26,2464,06-07-10-11-22-28
3383,06-13-22-26-33-09,2463,02-03-10-16-22-24
